Article,German,Italian,Score
die,Farbe,il colore,2
der,Kassenzettel,lo scontrino,2
der,Mantel,il cappotto,2
der,Hut,il cappello,2
das,Kleid,il vestito,1
die,Schuhe,le scarpe,2
die,Hose,i pantaloni,4
der,Rock,la gonna,2
der,Urlaub,la vacanza,2
die,Hochzeit,le nozze,3
das,Hemd,la camicia,3
das,Paar,il paio,2
die,Sache,la cosa,2
die,Frage,la domanda,2
das,Spiel,il gioco,4
das,nächste Mal,la prossima volta,2
die,Arbeit,il lavoro,3
der,Freund,l'amico/il ragazzo,1
die,Freundin,l'amica/la ragazza,2
die,Jacke,la giacca,2
die,Fleischtheke,il banco macelleria,1
das,Hähnchen,il pollo,2
das,Päckchen,la bustina,2
das,Backpulver,il lievito in polvere,2
die,Beziehung,la relazione,3
die,Ahnung,l'idea,2
die,Kneipe,il Pub,3
der,Kühlschrank,il frigorifero,1
das,Zimmer,la camera,2
der,Geburtstag,il compleanno,2
die,Badewanne,la vasca da bagno,3
das,Kino,il cinema,2
der,Eingang,l'entrata,2
der,Ausgang,l'uscita,1
der,Unterricht,la lezione,3
die,Zutat,l'ingrediente,2
die,Oper,l'opera,1
die,Vorstellung,lo spettacolo,2
die,Wespe,la vespa,2
die,Knospe,il bocciolo,3
die,Arbeitpause,la pausa al lavoro,2
das,Schuljahr,l'anno scolastico,2
die,Prüfung,l'esame,2
das,Zeugnis,la pagella,5
die,Note,il voto,3
das,Gymnasium,il liceo,3
die,Hausaufgaben,i compiti a casa,2
die,Grundschule,la scuola elementare,1
das,Licht,la luce,3
der,Kurs,il corso,2
der,Zug,il treno,2
der,Kindergarten,l'asilo nido,2
das,Handwerksberuf,il lavoro artigianale,4
die,Berufschule,la scuola professionale,1
der,Beruf,la professione,1
die,Entwicklung,lo sviluppo,2
das,Interesse,l'interesse,2
der,Satz,la frase,3
die,Bedingung,la condizione,2
das,Bett,il letto,2
der,Fernseher,la televisione,3
der,Geldbeutel,il borsellino,2
das,Geld,il denaro/i soldi,3
die,Kopfschmerzen,il mal di testa,1
die,Redewendung,i modi di dire,2
der,König,il re,2
die,Metapher,la metafora,4
der,Anrufbeantworten,la segreteria telefonica,2
der,Beantworter,la persona che risponde,2
die,Leitung,guida/direzione/linea telefonica,3
der,Prospekt,l'opuscolo,2
die,Besprechung,la discussione,2
der,Anhalt,il punto di appoggio/sostegno,3
der,Anhang,l'appendice/l'allegato,2
der,Termin,l'appuntamento,4
der,Terminplaner,l'agenda,2
der,Katalog,il catalogo,1
die,Büromobel,i mobili per l'ufficio,3
der,Tisch,il tavolo,2
der,Stuhl,la sedia,2
der,Kunde,il cliente,2
der,Produkt,il prodotto,2
der,Kopierer,la fotocopiatrice,2
der,Drucker,la stampante,2
die,Sekretärin,la segretaria,2
der,Chef,il capo,2
der,Computer,il computer,2
die,Sonnenbrille,gli occhiali da sole,2
die,Handtasche,la borsa,3
das,Handtuch,l'asciugamano,2
die,Reisetasche,la borsa da viaggio,2
das,Abendkleid,l'abito da sera,1
der,Rollerkoffer,il trolley,2
die,Kosmetiktasche,il beauty case,3
die,Sonnencreme,la crema solare,3
der,Regenschirm,l'ombrello,2
die,Plastiktüte,la borsa di plastica,2
der,Rucksack,lo zaino,2
die,Regenjacke,l'impermeabile,2
das,Gepäck,i bagagli,2
der,Wäschekorb,cesto per la biancheria,2
die,Schublade,il cassetto,2
der,Schrank,l'armadio,2
die,Kommode,il comò,2
der,Nattisch,il comodino,1
das,Kopfkissen,il cuscino,2
die,Decke,la coperta,2
der,Pyjama,il pigiama,1
die,Waschemaschine,la lavatrice,3
die,Flasche,la bottiglia,2
die,Schultasche,lo zaino di scuola,2
die,Küche,la cucina,2
das,Heft,il quaderno,3
die,Turnschuhe,le scarpe da ginnastica,2
das,Schuregal,la scarpiera,1
der,Küchenschrank,la credenza,1
der,Teller,il piatto,3
der,Abfalleimer,la pattumiera,3
die,Pflanze,la pianta,2
der,Kugelschreiber,la biro,1
die,Übernachtung,il pernottamento,2
das,Fahrrad,la bicicletta,2
das,Schiff,la nave,2
die,Bahn,il treno,2
die,Insel,l'isola,1
der,Berg,la montagna,1
das,Meer,il mare,3
der,Fluss,il fiume,2
der,See,il lago,1
der,Bauernhof,la fattoria,2
die,Jugendherberge,l'ostello,2
das,Wohnmobil,il camper,3
die,Stadtrundfahrt,il giro della città,1
das,Tier,l'animale,3
die,Wanderung,la camminata,2
die,Überraschung,la sorpresa,3
die,Kleidung,l'abbigliamento,2
die,Unterwäsche,la biancheria intima,1
das,Reisepass,il passaporto,2
der,Stadtplan,la mappa della città,3
das,Bargeld,il contante,2
der,Badeanzug,il costume da bagno,2
die,Badehose,il costume da bagno maschile,1
die,Sandale,il sandalo,2
die,Flipflops,le infradito,2
die,Wanderschuhe,le scarpe da trekking,2
die,Karte,la mappa,2
der,Bildschirm/Monitor,il monitor,2
die,Tastatur,la tastiera,2
die,Maus,il mouse,1
das,Telefonbuch,la rubrica,3
das,Handy,il cellulare,2
der,Friseur,il parrucchiere,1
der,Rechner,la calcolatrice,2
das,Fenster,la finestra,2
die,Uhr,l'orologio,2
das,Regal,lo scaffale,6
die,Regel,la regola,2
der,Schrank,l'armadio,2
die,Ablage,l'archivio,1
der,Teppich,il tappeto,2
die,Zeitschrift,la rivista,1
die,Nachricht,la notizia,3
der,Krimi,il giallo poliziesco,2
die,Reportage,il reportage,3
die,Sportsendung,la trasmissione sportiva,2
der,Sender,emittente/trasmettitore,2
der,Spielfilm,il lungometraggio,2
die,Komodie,la commedia,2
der,Stau,ingorgo/traffico,1
die,Verkehrsnachrichten,le notizie sul traffico,3
die,Verfügung,la disposizione,2
der,Internetanschluss,l'accesso a internet,3
der,Internetanbieter,il provider internet,3
der,Preisvorteil,il prezzo più conveniente/vantaggioso,2
der,Ansprechpartner,la persona a cui rivolgersi,2
der,Dienst,il servizio,3
die,Umkleidekabine,lo spogliatoio,2
die,Grösse,la taglia/grandezza,3
der,Sohn,il figlio,2
die,Tochter,la figlia,1
der,Onkel,lo zio,2
der,Opa,il nonno,3
die,Tante,la zia,2
die,Oma,la nonna,1
die,Grosseltern,i nonni,1
die,Eltern,i genitori,3
die,Geschwister,i fratelli,3
das,Viertel,il quarto (d'ora),3
der,Hof,il giardino,2
der,Nachbar,il vicino,1
die,Wohnung,l'appartamento,2
der,Name,il nome,2
der,Tag,il giorno,3
das,Enkelkind,il nipote,1
das,Wetter,il tempo/meteo,3
das,Gemüse,la verdura,2
der,Kopf,la testa,3
das,Mitglied,il membro,2
die,Leute,la gente/le persone,1
der,Schlager,la canzone,2
die,Weltmeisterschaft,il campionato mondiale,2
die,Lachen,le risate,3
der,Keller,la cantina,5
der,Erfolg,il successo,3
die,Mannschaft,la squadra,2
die,Endrunde,il girone finale,2
der,Balkon,il balcone,3
die,Fahne,la bandiera,2
der,Titel,il titolo,2
der,Weltmeister,il campione del mondo,2
das,Herz,il cuore,2
das,Märchen,la fiaba,2
der,Fan,il fan,2
der,Immobiliemakler,l'agente immobiliare,2
der,Neubau,(nuova) costruzione,3
der,Zustand,lo stato/la condizione,2
der,Stellplatz,il posto auto,2
die,Tiefgarage,il garage sotterraneo,1
