Article,German,Italian,Score
die, Farbe,il colore,1
der, Kassenzettel,lo scontrino,1
der, Mantel,il cappotto,1
der, Hut,il cappello,1
das, Kleid,il vestito,1
die, Schuhe,le scarpe,1
die, Hose,i pantaloni,1
der, Rock,la gonna,1
der, Urlaub,la vacanza,1
die, Hochzeit,le nozze,1
das, Hemd,la camicia,1
das, Paar,il paio,1
die, Sache,la cosa,1
die, Frage,la domanda,1
das, Spiel,il gioco,1
das, nächste Mal,la prossima volta,1
die, Arbeit,il lavoro,1
der, Freund,l'amico/il ragazzo,1
die, Freundin,l'amica/la ragazza,1
die, Jacke,la giacca,1
die, Fleischtheke,il banco macelleria,1
das, Hähnchen,il pollo,1
das, Päckchen,la bustina,1
das, Backpulver,il lievito in polvere,1
die, Beziehung,la relazione,1
die, Ahnung,l'idea,1
die, Kneipe,il Pub,1
der, Kühlschrank,il frigorifero,1
das, Zimmer,la camera,1
der, Geburtstag,il compleanno,1
die, Badewanne,la vasca da bagno,1
das, Kino,il cinema,1
der, Eingang,l'entrata,1
der, Ausgang,l'uscita,1
der, Unterricht,la lezione,2
die, Zutat,l'ingrediente,1
die, Oper,l'opera,1
die, Vorstellung,lo spettacolo,1
die, Wespe,la vespa,1
die, Knospe,il bocciolo,1
die, Arbeitpause,la pausa al lavoro,1
das, Schuljahr,l'anno scolastico,1
die, Prüfung,l'esame,1
das, Zeugnis,la pagella,1
die, Note,il voto,1
das, Gymnasium,il liceo,1
die, Hausaufgaben,i compiti a casa,1
die, Grundschule,la scuola elementare,1
das, Licht,la luce,1
der, Kurs,il corso,1
der, Zug,il treno,1
der, Kindergarten,l'asilo nido,1
das, Handwerksberuf,il lavoro artigianale,1
die, Berufschule,la scuola professionale,1
der, Beruf,la professione,1
die, Entwicklung,lo sviluppo,1
das, Interesse,l'interesse,1
der, Satz,la frase,1
die, Bedingung,la condizione,1
das, Bett,il letto,1
der, Fernsehe,la televisione,1
der, Geldbeutel,il borsellino,1
das, Geld,il denaro/i soldi,1
die, Kopfschmerzen,il mal di testa,1
die, Redewendung,i modi di dire,1
das, Fell,la pelliccia/il pelo,1
der, König,il re,1
die, Metapher,la metafora,2
der, Anrufbeantworten,la segreteria telefonica,1
der, Beantworter,la persona che risponde,1
die, Leitung,guida/direzione/linea telefonica,1
der, Prospekt,l'opuscolo,1
die, Besprechung,la discussione,1
der, Anhalt,il punto di appoggio/sostegno,1
der, Anhang,l'appendice/l'allegato,1
der, Termin,l'appuntamento,2
der, Terminplaner,l'agenda,1
der, Katalog,il catalogo,1
die, Büromobel,i mobili per l'ufficio,1
der, Tisch,il tavolo,1
der, Stuhl,la sedia,1
der, Kunde,il cliente,1
der, Produkt,il prodotto,1
der, Kopierer,la fotocopiatrice,1
der, Drucker,la stampante,1
die, Sekretärin,la segretaria,1
der, Chef,il capo,1
der, Computer,il computer,1
die, Sonnenbrille,gli occhiali da sole,1
die, Handtasche,la borsa,1
das, Handtuch,l'asciugamano,1
die, Reisetasche,la borsa da viaggio,1
das, Abendkleid,l'abito da sera,1
der, Rollerkoffer,il trolley,1
die, Kosmetiktasche,il beauty case,1
die, Sonnencreme,la crema solare,1
der, Regenschirm,l'ombrello,1
die, Plastiktüte,la borsa di plastica,1
der, Rucksack,lo zaino,1
die, Regenjacke,l'impermeabile,1
die, Gepäck,i bagagli,1
der, Wäschekorb,cesto per la biancheria,1
die, Schublade,il cassetto,1
der, Schrank,l'armadio,1
das, Regal,lo scaffale,1
die, Kommode,il comò,2
der, Nattisch,il comodino,1
das, Kopfkissen,il cuscino,1
die, Decke,la coperta,1
der, Pyjama,il pigiama,1
die, Waschemaschine,la lavatrice,1
die, Flasche,la bottiglia,1
die, Schultasche,lo zaino di scuola,1
die, Küche,la cucina,1
das, Heft,il quaderno,1
der, Keller,la cantina,1
die, Turnschuhe,le scarpe da ginnastica,1
das, Schuregal,la scarpiera,1
der, Küchenschrank,la credenza,1
der, Teller,il piatto,1
der, Abfalleimer,la pattumiera,1
die, Pflanze,la pianta,1
der, Kugelschreiber,la biro,1
die, Übernachtung,il pernottamento,1
das, Fahrrad,la bicicletta,1
das, Schiff,la nave,1
die, Bahn,il treno,1
die, Insel,l'isola,1
der, Berg,la montagna,1
das, Meer,il mare,1
der, Fluss,il fiume,1
der, See,il lago,1
der, Bauernhof,la fattoria,1
die, Jugendherberge,l'ostello,1
das, Wohnmobil,il camper,1
die, Stadtrundfahrt,il giro della città,1
das, Tier,l'animale,1
die, Wanderung,la camminata,1
die, Überraschung,la sorpresa,1
die, Kleidung,l'abbigliamento,1
die, Unterwäsche,la biancheria intima,1
das, Reisepass,il passaporto,1
der, Stadtplan,la mappa della città,1
das, Bargeld,il contante,1
der, Badeanzug,il costume da bagno,1
die, Badehose,il costume da bagno maschile,1
die, Sandale,il sandalo,1
die, Flipflops,le infradito,1
die, Wanderschuhe,le scarpe da trekking,1
die, Karte,la mappa,1
der, Bildschirm/Monitor,il monitor,1
die, Tastatur,la tastiera,1
die, Maus,il mouse,1
das, Telefonbuch,la rubrica,1
das, Handy,il cellulare,1
der, Friseur,il parrucchiere,1
der, Rechner,la calcolatrice,1
das, Fenster,la finestra,1
die, Uhr,l'orologio,1
das, Regal,lo scaffale,1
die, Regel,la regola,1
der, Schrank,l'armadio,1
die, Ablage,l'archivio,1
der, Teppich,il tappeto,1
die, Zeitschrift,la rivista,1
die, Nachricht,la notizia,1
der, Krimi,il giallo poliziesco,1
die, Reportage,il reportage,1
die, Sportsendung,la trasmissione sportiva,1
der, Sender,emittente/trasmettitore,1
der, Spielfilm,il lungometraggio,1
die, Komodie,la commedia,1
der, Stau,ingorgo/traffico,1
die, Verkehrsnachrichten,le notizie sul traffico,1
die, Verfügung,la disposizione,1
der, Internetanschluss,l'accesso a internet,1
der, Internetanbieter,il provider internet,1
der, Preisvorteil,il prezzo più conveniente/vantaggioso,1
der, Ansprechpartner,la persona a cui rivolgersi,1
der, Dienst,il servizio,1
die, Umkleidekbine,lo spogliatoio,1
die, Grösse,la taglia/grandezza,2
der, Sohn,il figlio,1
die, Tochter,la figlia,1
der, Onkel,lo zio,1
der, Opa,il nonno,1
die, Tante,la zia,2
die, Oma,la nonna,1
die, Grosseltern,i nonni,1
die, Eltern,i genitori,1
die, Geschwister,i fratelli,1
das, Viertel,il quarto (d'ora),1
der, Hof,il giardino,1
der, Nachbar,il vicino,1
die, Wohnung,l'appartamento,1
der, Name,il nome,1
der, Tag,il giorno,1
das, Enkelkind,il nipote,1
das, Wetter,il tempo/meteo,1
das, Gemüse,la verdura,1
der, Kopf,la testa,1
das, Mitglied,il membro,1
die, Leute,la gente/le persone,1
der, Schlager,la canzone,1
die, Weltmeisterschaft,il campionato mondiale,1
das,s,che,1
die, Lachen,le risate,1
der, Keller,la cantina,1
der, Erfolg,il successo,1
die, Mannschaft,la squadra,1
die, Endrunde,il girone finale,1
der, Balkon,il balcone,1
die, Fahne,la bandiera,1
der, Titel,il titolo,1
der, Weltmeister,il campione del mondo,1
das, Herz,il cuore,1
