Present,Präteritum,Perfekt,Italian,PresentScore,PräteritumScore,PerfektScore
backen,backte,hat gebacken,bake,1,1,1
befehlen,befahl,hat befohlen,command,1,1,1
beginnen,begann,hat begonnen,begin,1,1,1
beißen,biss,hat gebissen,bite,1,1,1
betrügen,betrog,hat betrogen,deceive,1,1,1
bewegen,bewog,hat bewogen,move,1,1,1
biegen,bog,ist gebogen,bend,1,1,1
bieten,bot,hat geboten,offer,1,1,1
binden,band,hat gebunden,tie,1,1,1
bitten,bat,hat gebeten,request,1,1,1
blasen,blies,hat geblasen,blow,1,1,1
bleiben,blieb,ist geblieben,stay,1,1,1
braten,briet,hat gebraten,roast,1,1,1
brechen,brach,hat gebrochen,break,1,1,1
brennen,brannte,hat gebrannt,burn,1,1,1
bringen,brachte,hat gebracht,bring,1,1,1
denken,dankte,hat gedacht,think,1,1,1
dürfen,durfte,hat gedurft,be allowed to,1,1,1
empfehlen,empfahl,hat empfohlen,recommend,1,1,1
erschrecken,erschrak,ist erschrocken,be frightened,1,1,1
essen,aß,hat gegessen,eat,1,1,1
fahren,fuhr,ist gefahren,go,1,1,1
fallen,fiel,ist gefallen,fall,1,1,1
fangen,fing,hat gefangen,catch,1,1,1
finden,fand,hat gefunden,find,1,1,1
fliegen,flog,ist geflogen,fly,1,1,1
fliehen,floh,ist geflohen,flee,1,1,1
fließen,floss,hat geflossen,flow,1,1,1
fressen,fraß,hat gefressen,eat,1,1,1
frieren,fror,ist gefroren,freeze,1,1,1
geben,gab,hat gegeben,give,1,1,1
gedeihen,gedieh,ist gediehen,flourish,1,1,1
gehen,ging,ist gegangen,go,1,1,1
gelingen,gelang,ist gelungen,succeed,1,1,1
gelten,galt,hat gegolten,be valid,1,1,1
genießen,genoss,hat genossen,enjoy,1,1,1
geraten,geriet,ist geraten,fall into,1,1,1
geschehen,geschah,ist geschehen,happen,1,1,1
gewinnen,gewann,hat gewonnen,win,1,1,1
gießen,goss,hat gegossen,pour,1,1,1
